c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.00275731,0.00275988,0.99979209,0.0001077,0.0001078,0.9997845,0.00043723,0.00043733,0.99912544,7.62e-06,7.63e-06,0.99998475,7.61e-06,7.62e-06,0.99998477
0.00252018,0.00252334,0.99982355,9.134e-05,9.146e-05,0.9998172,0.00037569,0.00037581,0.99924849,6.36e-06,6.38e-06,0.99998726,6.35e-06,6.37e-06,0.99998728
0.00230743,0.00230499,0.9998502,7.76e-05,7.751e-05,0.99984489,0.00032291,0.00032282,0.99935426,5.33e-06,5.32e-06,0.99998935,5.33e-06,5.31e-06,0.99998936
0.00211305,0.00211011,0.99987272,6.591e-05,6.582e-05,0.99986827,0.00027737,0.00027727,0.99944537,4.47e-06,4.46e-06,0.99999107,4.47e-06,4.45e-06,0.99999108
0.00193706,0.00193479,0.99989175,5.603e-05,5.596e-05,0.99988801,0.00023816,0.00023809,0.99952375,3.76e-06,3.75e-06,0.9999925,3.75e-06,3.74e-06,0.9999925
0.00177597,0.00177842,0.99990784,4.762e-05,4.769e-05,0.99990469,0.00020437,0.00020444,0.99959119,3.16e-06,3.17e-06,0.99999368,3.15e-06,3.16e-06,0.99999368
0.00163436,0.00163233,0.99992147,4.062e-05,4.057e-05,0.99991881,0.00017545,0.00017539,0.99964916,2.67e-06,2.67e-06,0.99999466,2.67e-06,2.66e-06,0.99999466
0.00149917,0.00149791,0.99993322,3.452e-05,3.449e-05,0.99993098,0.00015042,0.00015039,0.99969918,2.25e-06,2.25e-06,0.99999551,2.25e-06,2.24e-06,0.99999551
0.00138338,0.00138577,0.99994283,2.951e-05,2.957e-05,0.99994092,0.00012904,0.0001291,0.99974186,1.91e-06,1.92e-06,0.99999616,1.91e-06,1.92e-06,0.99999617
0.00127594,0.00127945,0.99995113,2.521e-05,2.529e-05,0.9999495,0.00011062,0.0001107,0.99977868,1.63e-06,1.64e-06,0.99999673,1.63e-06,1.64e-06,0.99999673
0.00118076,0.00118078,0.99995819,2.16e-05,2.16e-05,0.99995679,9.484e-05,9.485e-05,0.99981031,1.39e-06,1.39e-06,0.99999721,1.39e-06,1.39e-06,0.99999721
0.00109137,0.00109336,0.99996419,1.848e-05,1.852e-05,0.999963,8.125e-05,8.129e-05,0.99983747,1.19e-06,1.2e-06,0.99999761,1.19e-06,1.2e-06,0.99999761
0.00101265,0.00101182,0.99996929,1.587e-05,1.586e-05,0.99996827,6.961e-05,6.96e-05,0.99986079,1.03e-06,1.02e-06,0.99999795,1.03e-06,1.02e-06,0.99999795
0.00094028,0.00093843,0.99997364,1.363e-05,1.361e-05,0.99997276,5.961e-05,5.958e-05,0.99988081,8.8e-07,8.8e-07,0.99999823,8.8e-07,8.8e-07,0.99999824
0.00087299,0.00087261,0.99997735,1.171e-05,1.17e-05,0.99997659,5.101e-05,5.1e-05,0.99989799,7.6e-07,7.6e-07,0.99999848,7.6e-07,7.6e-07,0.99999848
0.0008126,0.00081142,0.99998052,1.008e-05,1.006e-05,0.99997986,4.365e-05,4.363e-05,0.99991272,6.6e-07,6.6e-07,0.99999868,6.6e-07,6.6e-07,0.99999868
0.00075665,0.00075621,0.99998323,8.67e-06,8.67e-06,0.99998266,3.732e-05,3.732e-05,0.99992536,5.7e-07,5.7e-07,0.99999886,5.7e-07,5.7e-07,0.99999886
0.00070587,0.00070558,0.99998555,7.48e-06,7.47e-06,0.99998505,3.191e-05,3.19e-05,0.99993619,5e-07,5e-07,0.999999,5e-07,5e-07,0.999999
0.00066072,0.00065779,0.99998754,6.46e-06,6.43e-06,0.9999871,2.727e-05,2.724e-05,0.99994549,4.4e-07,4.3e-07,0.99999913,4.4e-07,4.3e-07,0.99999913
0.00061505,0.00061562,0.99998926,5.56e-06,5.56e-06,0.99998888,2.328e-05,2.328e-05,0.99995344,3.8e-07,3.8e-07,0.99999924,3.8e-07,3.8e-07,0.99999924
