HF,UHF,MP2,UMP2,MP3,UMP3,MP4,UMP4,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CASSCF(4/8)_ORCA,CASPT2,SC-NEVPT2,FIC-NEVPT2,MRCI_ORCA,CASSCF(4/10),MRCI,MRCI+Q Davidson,MRCI+Q Davidson relaxed,MRCI+Q Pople,MRCI+Q Pople relaxed,ACPF,AQCC,CASSCF(8/10)
-29.1451427320118,-29.146083719439897,-29.213884466558014,-29.205716417903346,-29.232005449095965,-29.221926637515047,-29.24033084174909,-29.230584540113945,-29.23938938884616,-29.236061388372136,-29.24659134188759,-29.23690890766667,-29.24756895,-29.247471148,-29.24838286275646,-29.248348937562962,-29.247558938,-29.24735573,-29.248367959158543,-29.24829622440953,-29.232472605498128,-29.24664937529,-29.245689107533,-29.245702918795,-29.24794992929,-29.232573577398,-29.237584092555,-29.23761321,-29.23761001,-29.23759865,-29.23759705,-29.237597061522,-29.237588398511,-29.232502670104
-29.14519906143179,-29.146104240542943,-29.21385519779317,-29.20579594539536,-29.23196832598164,-29.22202795850257,-29.240295821161425,-29.2306887251258,-29.2393848128847,-29.236112260377773,-29.246595677997696,-29.237050374978647,-29.247577386,-29.247489521,-29.24836660327561,-29.248335815317457,-29.247567606,-29.247386305,-29.248351959630575,-29.24829016821367,-29.232525364509662,-29.246644029987,-29.24568871774,-29.245701298932,-29.247940983922,-29.232615761719,-29.237566713663,-29.23759499,-29.23759192,-29.23758085,-29.23757932,-29.237579329634,-29.237570902667,-29.232555174406
-29.145250560950256,-29.14612393909749,-29.213826710481012,-29.205867397411488,-29.231932362031863,-29.222118840641212,-29.240261973139322,-29.230782075928623,-29.239379531521443,-29.236157325710447,-29.246598365441994,-29.237178514935977,-29.247584056,-29.247504939,-29.248350385392687,-29.24832234294872,-29.247574522,-29.247412496,-29.24833600230212,-29.24828285007805,-29.232570299604408,-29.246638351434,-29.245689128111,-29.245700675384,-29.247926255153,-29.232653336917,-29.237549599848,-29.23757712,-29.23757417,-29.23756336,-29.23756189,-29.237561895972,-29.237553682872,-29.232602148959
-29.145297595965907,-29.14614271413608,-29.213798926907124,-29.205931207856423,-29.231897456452003,-29.22219991086816,-29.240229178438284,-29.23086528014789,-29.239373538397707,-29.236196982958088,-29.246599607243255,-29.237294162857925,-29.247589021,-29.247517609,-29.248334146005426,-29.248308509060667,-29.247579745,-29.247434689,-29.248320022668047,-29.248274383439437,-29.23261490678189,-29.246630854795,-29.245684307187,-29.245694768189,-29.247889216422,-29.232686730217,-29.237532582195,-29.23755941,-29.23755657,-29.23754599,-29.23754458,-29.237544585729,-29.237536568265,-29.232644081770
-29.14534051016985,-29.146160501359727,-29.21377177885003,-29.20598782709148,-29.23186352015595,-29.222271801883608,-29.240197332999674,-29.230939021370578,-29.239366838880645,-29.236231619993152,-29.24659945603389,-29.23739814556388,-29.247592351,-29.247530089,-29.24831783776688,-29.248296401118093,-29.247583342,-29.247453237,-29.248303972189127,-29.24826487282864,-29.232652708713086,-29.24662302472,-29.245680238834,-29.245689782988,-29.247869403428,-29.232716338318,-29.237516048384,-29.23754225,-29.23753951,-29.23752915,-29.23752778,-29.237527788124,-29.237519947033,-29.232681429798
-29.145379626062617,-29.146177265793305,-29.213745205925527,-29.20603771110471,-29.231830474140246,-29.22233514140805,-29.240166345772376,-29.23100396996061,-29.239359431322207,-29.23626160992849,-29.24659797129741,-29.23749127154551,-29.247594123,-29.247537693,-29.24830142598666,-29.248281713509403,-29.247585387,-29.247468464,-29.24828781519236,-29.24825441445837,-29.232686220241007,-29.246614488617,-29.245675330211,-29.245684048301,-29.247878831618,-29.232742528271,-29.23749982878,-29.23752546,-29.23752281,-29.23751265,-29.23751132,-29.237511328348,-29.237503647832,-29.232714617996
-29.1454152455801,-29.1461929956244,-29.21371915675573,-29.206081315543088,-29.231798249886634,-29.222390545798376,-29.24013613867546,-29.231060777998398,-29.239351372185368,-29.236287311391443,-29.246595219279204,-29.237574325802093,-29.24759442,-29.247543131,-29.248284888173163,-29.248266686409472,-29.247585962,-29.247480668,-29.248271528358163,-29.248243098396447,-29.232716214615014,-29.24660518526,-29.245668239967,-29.245676184624,-29.247844855058,-29.232765637987,-29.237483944713,-29.23750906,-29.23750649,-29.2374965,-29.23749522,-29.237495225314,-29.237487691191,-29.232744041009
-29.145447650799365,-29.146207697049977,-29.213693588300423,-29.20611908995583,-29.2317667887096,-29.222438614648524,-29.240106645544024,-29.231110075002924,-29.23934267360808,-29.23630906631521,-29.246590408572235,-29.23764806509435,-29.247593328,-29.247546574,-29.248268212348428,-29.248251337159637,-29.24758515,-29.247490123,-29.248255098990768,-29.248231009703616,-29.232741727597784,-29.246595825987,-29.245663749372,-29.245671057236,-29.247852812282,-29.232785978317,-29.23746839753,-29.23749304,-29.23749054,-29.23748072,-29.23747947,-29.237479477988,-29.23747207767,-29.232770064028
-29.145477104695253,-29.14622139000316,-29.213668465581264,-29.20615147384694,-29.231736041345336,-29.222479927398375,-29.24007781138897,-29.231152465513727,-29.23933337176212,-29.23632720095188,-29.246585373426186,-29.237713215228805,-29.247590938,-29.247548187,-29.248251395914295,-29.248235688170546,-29.247583042,-29.247497085,-29.248238523887895,-29.248218229390748,-29.232764541703148,-29.246585890145,-29.245656897967,-29.245663597661,-29.247830128596,-29.232803833696,-29.237453210492,-29.23747743,-29.23747499,-29.23746532,-29.2374641,-29.237464107768,-29.237456829913,-29.232793023274
-29.14550385196248,-29.146234104651576,-29.213643761684633,-29.206178893971835,-29.231705967537852,-29.22251504063924,-29.24004959169414,-29.231188527196647,-29.23932350808556,-29.23634202692235,-29.246579295599023,-29.237770469026888,-29.247587342,-29.247548128,-29.24823444461241,-29.24821976674577,-29.247579727,-29.247501788,-29.248221808334915,-29.24820483544312,-29.23278405260289,-29.246574279029,-29.245648331946,-29.245655415773,-29.247822038017,-29.232819463954,-29.237438443876,-29.23746227,-29.23745989,-29.23745036,-29.23744917,-29.237449173854,-29.23744200784,-29.232813228061
-29.145528119861986,-29.14624587853577,-29.213619456457728,-29.20620175760644,-29.231676535189543,-29.22254448132937,-29.240021951342353,-29.23121880471905,-29.23931312785519,-29.236353835112794,-29.246572256582155,-29.237820479658367,-29.247582633,-29.247546547,-29.248217371000504,-29.24820360377916,-29.247575298,-29.247504453,-29.24820496448556,-29.24819090269128,-29.232803310655168,-29.2465623844,-29.245638032912,-29.245644444981,-29.247821443267,-29.23283310573,-29.237424075579,-29.23744754,-29.23744521,-29.23743581,-29.23743464,-29.237434652164,-29.237427588693,-29.232830961428
-29.145550119086227,-29.146256754255074,-29.213595537002806,-29.206220464162826,-29.23164771995244,-29.22256876187016,-29.239994863969326,-29.231243825460503,-29.23930227993552,-29.236362907050076,-29.246564339716446,-29.23786387705047,-29.247576908,-29.247543587,-29.248200194026992,-29.248187234206473,-29.24756985,-29.247505284,-29.248188010976865,-29.248176503811656,-29.232819321868604,-29.246550002473,-29.245626898642,-29.245633241715,-29.247791472537,-29.232844973751,-29.237410112859,-29.23743325,-29.23743097,-29.23742168,-29.23742054,-29.237420548578,-29.237413579275,-29.232846481927
-29.145570044648153,-29.14626677763544,-29.21357199627033,-29.206235390077904,-29.231619504115248,-29.222588361320405,-29.239968310703954,-29.231264081098026,-29.23929101550229,-29.236369608673247,-29.24655562892927,-29.23790124885563,-29.247570259,-29.247540916,-29.248182937640603,-29.248171992424016,-29.247563475,-29.24750447,-29.24817097152175,-29.248161709192395,-29.23283300909068,-29.246537551867,-29.245615791246,-29.245622503525,-29.24778286581,-29.232855262278,-29.237396561769,-29.2374194,-29.23741716,-29.23740798,-29.23740686,-29.237406867936,-29.237399985235,-29.232860025040
-29.14558807675653,-29.146275996256875,-29.213548832826,-29.206246893943504,-29.23159187604555,-29.222603733040284,-29.239942279457072,-29.231280035695526,-29.23927938762608,-29.23637395449869,-29.246546208364848,-29.23793314924044,-29.247562781,-29.247535555,-29.24816563017918,-29.248155298533568,-29.247556267,-29.24750219,-29.24815387428698,-29.248146587321788,-29.232843406726207,-29.246526631582,-29.245608776504,-29.24561500656,-29.247777855313,-29.232864147122,-29.237383426498,-29.23740598,-29.23740378,-29.2373947,-29.23739361,-29.237393613345,-29.237386810406,-29.232871804434
-29.145604381685807,-29.146284458336694,-29.213526049080787,-29.206255314539494,-29.231564828755648,-29.222615303212734,-29.239916763355616,-29.231292124527595,-29.23926744951608,-29.236376335489652,-29.246536160587144,-29.237960588646374,-29.247554566,-29.247529212,-29.248148302399596,-29.24813851747011,-29.247548316,-29.247498608,-29.24813674990669,-29.24813120360592,-29.23285336663439,-29.246513966162,-29.245598427306,-29.245604169704,-29.247749354156,-29.232871786263,-29.237370708686,-29.23739301,-29.23739085,-29.23738186,-29.23738078,-29.237380785479,-29.237374056107,-29.232882013408
-29.14561911264472,-29.146292211870215,-29.213503651293,-29.20626097131316,-29.231538359426352,-29.22262347129845,-29.2398917601413,-29.23130075481315,-29.239255254568512,-29.236376935665724,-29.246525566579063,-29.2379831510958,-29.247545702,-29.247522005,-29.24813098736963,-29.248121691049384,-29.247539711,-29.247493879,-29.24811963136782,-29.248115621061157,-29.232862159146762,-29.246499573714,-29.245586820378,-29.245592308599,-29.247728743278,-29.232878321889,-29.237358408293,-29.23738047,-29.23737834,-29.23736944,-29.23736838,-29.237368383439,-29.237361722013,-29.232890826894
-29.145632410603685,-29.146299303964412,-29.213481648089143,-29.206264163429527,-29.2315124679926,-29.22262860960491,-29.23986727072169,-29.231306305504383,-29.23924285512209,-29.236375959231072,-29.24651450473096,-29.238001699694006,-29.247532261,-29.247514045,-29.248109819755214,-29.24810486060081,-29.247530537,-29.247488144,-29.248102552614352,-29.2480998993338,-29.232870316234646,-29.246485138784,-29.245571566126,-29.245579670914,-29.247729840395,-29.232883881762,-29.237346515682,-29.23736837,-29.23736626,-29.23735744,-29.23735639,-29.237356412552,-29.237349813906,-29.232898402073
-29.14564440511371,-29.146305780395924,-29.213460049933143,-29.206265170014728,-29.231487156698822,-29.22263106411829,-29.239843298590966,-29.231309128300655,-29.23923030203581,-29.236373596282046,-29.24650305024019,-29.23801665283901,-29.247522385,-29.247505436,-29.24809265488012,-29.24808806702172,-29.247516922,-29.247481535,-29.24808171381197,-29.248084095286274,-29.23287686249265,-29.246471367147,-29.2455588992,-29.245567555323,-29.247705386204,-29.232888579615,-29.23733504267,-29.23735669,-29.23735462,-29.23734587,-29.23734483,-29.237344852401,-29.237338311958,-29.232904880406
-29.145655215086748,-29.146311685258617,-29.21343886806835,-29.206264249913495,-29.231462429072888,-29.222631154568596,-29.239819848779472,-29.23130954786676,-29.239217643945487,-29.236370019203562,-29.246491274477016,-29.238028396826927,-29.247512103,-29.247496275,-29.24807560162488,-29.248071349280195,-29.24750688,-29.247474174,-29.248064836919824,-29.248068261635638,-29.23288346079158,-29.246457667788,-29.245546078244,-29.245554023247,-29.247697595785,-29.23289251817,-29.237323977971,-29.23734544,-29.23734339,-29.23733471,-29.23733368,-29.237333706902,-29.237327220426,-29.232910388995
-29.145664949552312,-29.146317060760246,-29.213418114179863,-29.206261642401753,-29.23143828914052,-29.22262917521248,-29.23979692699149,-29.23130786274493,-29.239204926961374,-29.23636538716857,-29.246479244782936,-29.23803728755667,-29.247501486,-29.247486652,-29.248058692859317,-29.248054744654166,-29.247496496,-29.247466171,-29.248048097919465,-29.248052447723804,-29.232887761437688,-29.246443881508,-29.245534502824,-29.245542323662,-29.24768038074,-29.232895788301,-29.237313315638,-29.23733461,-29.23733258,-29.23732396,-29.23732295,-29.237322969555,-29.237316533181,-29.232915040974
-29.145673708359684,-29.146321947070085,-29.21339779946233,-29.20625756703268,-29.231414740876005,-29.22262539542709,-29.239774539025674,-29.231304346045626,-29.23919219400376,-29.23635984906906,-29.2464670237722,-29.238043651029237,-29.247490604,-29.247476649,-29.24804195942396,-29.248038287718988,-29.24748584,-29.247457628,-29.24803152769244,-29.248036698649777,-29.232891971310515,-29.246430244815,-29.245521869351,-29.245529593795,-29.247670783163,-29.232898471318,-29.2373030491,-29.23732418,-29.23732217,-29.23731361,-29.23731261,-29.237312633299,-29.237306243491,-29.232918938520
-29.145681582875127,-29.14632638226184,-29.21337793464112,-29.20625222485188,-29.231391788087336,-29.22262006110208,-29.2397526906246,-29.23129924693813,-29.23917948526448,-29.236353538414075,-29.24645466992472,-29.23804778562939,-29.24747952,-29.247466343,-29.248025430525157,-29.248022010829715,-29.247474974,-29.247448638,-29.2480151555224,-29.24802105609953,-29.232895441031786,-29.246416655385,-29.245509491484,-29.245516860634,-29.247647915987,-29.232900639812,-29.237293171123,-29.23731415,-29.23731216,-29.23730366,-29.23730267,-29.237302690459,-29.237296343978,-29.232922172014
-29.145688656608495,-29.146330402284946,-29.21335852910735,-29.2062457985814,-29.231369433593372,-29.222613395282153,-29.23973138661451,-29.23129279135956,-29.239166837369357,-29.236346568431095,-29.246438059559868,-29.238049962803345,-29.247468291,-29.247455804,-29.24800913273589,-29.248005943410377,-29.247463955,-29.247439286,-29.247999008065168,-29.248005557695148,-29.23289806685696,-29.246403068236,-29.245496922598,-29.245504620681,-29.247640722835,-29.23290235838,-29.237283673814,-29.23730452,-29.23730255,-29.23729409,-29.23729311,-29.237293132745,-29.237286826619,-29.232924822319
-29.145695005823193,-29.146334040973404,-29.21333959092976,-29.20623845363492,-29.231347679270172,-29.222605599557,-29.23971063092383,-29.231285183459114,-29.23915428350441,-29.236339054508854,-29.246425603987426,-29.23805042870695,-29.24745697,-29.247445093,-29.247993089941833,-29.2479901116972,-29.247452838,-29.247429648,-29.24798310935242,-29.247990237040092,-29.23290026764688,-29.246389729983,-29.24548515171,-29.245492308115,-29.247609270357,-29.232903684313,-29.237274548567,-29.23729526,-29.23729331,-29.2372849,-29.23728393,-29.237283951194,-29.237277682692,-29.232926961622
-29.145700700022044,-29.146337330087484,-29.213321127042207,-29.2062303393252,-29.231326526806537,-29.22259685528653,-29.23969042747748,-29.23127660688199,-29.239141853872205,-29.23633109389285,-29.24641316235303,-29.23804940623323,-29.247445605,-29.247434268,-29.247977323719496,-29.247974539217047,-29.247441669,-29.247419792,-29.247967480956287,-29.247975124274408,-29.232901978497484,-29.246376515224,-29.24547348024,-29.245480145253,-29.247601083097,-29.232904668828,-29.237265786659,-29.23728638,-29.23728444,-29.23727608,-29.23727511,-29.237275136761,-29.237268903368,-29.232928654155
-29.145705802805967,-29.14634029934896,-29.21330314208744,-29.206221589476144,-29.23130597344538,-29.222587324983262,-29.2396707752738,-29.231267226182958,-29.239129574795346,-29.23632268876716,-29.24640077168377,-29.23804709608494,-29.247434239,-29.247423379,-29.247961852853948,-29.247959246556626,-29.247430491,-29.247409781,-29.2479521420096,-29.247960245884553,-29.232903272188906,-29.246363498668,-29.245460325921,-29.24546816164,-29.247581267293,-29.232905357378,-29.237257379098,-29.23727786,-29.23727594,-29.23726762,-29.23726666,-29.237266680236,-29.237260479636,-29.232929956880
-29.145710371865803,-29.14634297651986,-29.213285639950048,-29.20621232393315,-29.231286018440343,-29.22257715370534,-29.23965167580496,-29.23125718825573,-29.239117470343196,-29.236314127886025,-29.246388469616615,-29.238043679040345,-29.247422912,-29.247412473,-29.24794669403696,-29.247944251991587,-29.247419344,-29.24739967,-29.24793710923661,-29.247945625544176,-29.2329042426359,-29.246350698642,-29.245447323252,-29.245456289653,-29.247567574556,-29.232905790184,-29.237249316137,-29.23726969,-29.23726778,-29.2372595,-29.23725855,-29.237258571453,-29.237252401504,-29.232930920717
-29.14571445977507,-29.14634538746284,-29.213268622545716,-29.206202649080733,-29.231266658706485,-29.22256647037719,-29.239633128036335,-29.23124662367887,-29.239105561174487,-29.236305376005586,-29.246376287968527,-29.238039316757362,-29.247411657,-29.247401589,-29.247931861145723,-29.247929570619632,-29.247408262,-29.247389508,-29.247922396688832,-29.247931283090384,-29.232904557904497,-29.246337310316,-29.245435978092,-29.245444835376,-29.247556004078,-29.232906002999,-29.237241588305,-29.23726186,-29.23725997,-29.23725173,-29.23725078,-29.237250800775,-29.2372446595,-29.232931590848
-29.145718114330908,-29.14634755621575,-29.2132520907288,-29.206192659600756,-29.231247890230893,-29.22255538946664,-29.239615129961248,-29.23123564841483,-29.23909386554076,-29.236296424476873,-29.246364255134285,-29.238034154111467,-29.247400505,-29.247390765,-29.247917366162465,-29.247915215692185,-29.247397275,-29.24737934,-29.24790801650888,-29.2479172360797,-29.232904714729695,-29.246324594797,-29.245425241948,-29.245433565344,-29.2475437822,-29.23290602773,-29.237233886243,-29.23725406,-29.23725218,-29.23724397,-29.23724303,-29.237243040708,-29.237236927844,-29.232932007256
-29.145721378947503,-29.146349505065775,-29.21323604387,-29.20618243909124,-29.231229707697,-29.2225440117964,-29.23959767822728,-29.231224364637047,-29.239082399042474,-29.236287323131563,-29.246352395992115,-29.238028320265016,-29.247389483,-29.247380032,-29.247903218892247,-29.247901198033453,-29.247386412,-29.247369204,-29.247893978662443,-29.247903499283,-29.23290574660356,-29.246313800564,-29.245412803511,-29.245421428449,-29.247540543109,-29.23290589237,-29.237226791791,-29.23724688,-29.23724501,-29.23723683,-29.2372359,-29.237235908537,-29.237229820885,-29.232932205475
-29.145724293023903,-29.14635125462407,-29.213220480222727,-29.206172061269797,-29.231212105077844,-29.222532426330982,-29.239580768719087,-29.23121286253252,-29.239071175087787,-29.23627612901205,-29.246340732345924,-29.23802193025657,-29.247378615,-29.247369419,-29.247889427281077,-29.24788752650061,-29.247375696,-29.247364293,-29.247880291293647,-29.247895226684005,-29.23290567220965,-29.246301899551,-29.245402460076,-29.245410551065,-29.247506564972,-29.23290562193,-29.237219824314,-29.23723982,-29.23723797,-29.23722982,-29.2372289,-29.237228904267,-29.237222841209,-29.232932217217
-29.14572689227473,-29.146352823900106,-29.213205397209563,-29.206161591083593,-29.23119507560004,-29.222520711245064,-29.239564396508296,-29.231201221380072,-29.239060205217317,-29.236266966722035,-29.24632928336858,-29.23801508652233,-29.247367922,-29.247358949,-29.247875997820888,-29.247874208399114,-29.247365147,-29.247354261,-29.24786696106556,-29.24788208601293,-29.232905577172975,-29.246290318774,-29.245389634019,-29.245399628484,-29.24749925286,-29.232905238293,-29.237213343749,-29.23723327,-29.23723143,-29.23722331,-29.23722238,-29.237222390668,-29.237216349689,-29.232932070300
-29.14572920904287,-29.146354230391456,-29.21319079116436,-29.20615108534559,-29.2311786117344,-29.222508934949882,-29.2395485558449,-29.231189510591825,-29.239049498944937,-29.236259082793552,-29.246318065483806,-29.23800787997281,-29.247357423,-29.247348646,-29.247862935284203,-29.24786124930144,-29.247354786,-29.247344353,-29.24785399294561,-29.24786928611024,-29.232905346297315,-29.246278969775,-29.24537943988,-29.24538889758,-29.247495898409,-29.232904761018,-29.23720714955,-29.237227,-29.23722517,-29.23721708,-29.23721616,-29.237216165466,-29.23721014521,-29.232931789578
-29.145731272589266,-29.146355490146547,-29.213176657665738,-29.206140593716068,-29.231162705309135,-29.222497157095535,-29.23953324026812,-29.231177790720118,-29.23903906412212,-29.23625017688656,-29.24630709279603,-29.23800039101993,-29.247347132,-29.247338527,-29.24785024311394,-29.247848653267663,-29.247344627,-29.247334594,-29.247841390558076,-29.247856833204366,-29.232904959128906,-29.246267930619,-29.245369467367,-29.245378427591,-29.24746986957,-29.232904207058,-29.237201231618,-29.23722102,-29.23721919,-29.23721113,-29.23721021,-29.237210218417,-29.237204217622,-29.232931396791
-29.145733109345834,-29.146356617852017,-29.21316299193324,-29.20613015975951,-29.23114734800959,-29.222485429920756,-29.239518443088382,-29.231166114811625,-29.23902890741053,-29.23624130676756,-29.246296377601983,-29.237992691144385,-29.247337065,-29.24732861,-29.2478379238347,-29.247836423419518,-29.247334685,-29.247325003,-29.247829156604546,-29.24784473231949,-29.2329040315866,-29.246257214875,-29.245360323907,-29.245368864511,-29.247449903708,-29.232903591448,-29.237195563903,-29.23721529,-29.23721347,-29.23720543,-29.23720452,-29.237204523138,-29.237198540767,-29.232930911376
