HF,UHF,MP2,UMP2,MP3,UMP3,MP4,UMP4,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CASSCF,CASPT2,SC-NEVPT2,FIC-NEVPT2,MRCI
-399.17836478725513,-399.18537987674256,-399.2819104223757,-399.27205126662585,-399.29577439730286,-399.2838575018321,-399.3035014417228,-399.29142846421973,-399.29308462560016,-399.28740530271733,-399.2993636430053,-399.28830048638656,-399.30117615,-399.299608264,-399.3064250267523,-399.3057146259468,-399.301462193,-399.298836559,-399.3065671452684,-399.30560695412015,-399.2429164541145,-399.300260079,-399.299786422293,-399.300193596515,-399.304347041894
-399.18361430418895,-399.1903200041636,-399.2864001715767,-399.2764959211672,-399.30019030549863,-399.2882693589573,-399.30785151988186,-399.29583031250246,-399.2975847855413,-399.2918814984053,-399.3038107363525,-399.2927401341744,-399.305588077,-399.304037652,-399.310743746144,-399.3100540381876,-399.305866628,-399.303251574,-399.3108819113874,-399.3099285806727,-399.24789205796503,-399.304612824104,-399.3041353405,-399.304527252113,-399.308684838333
-399.1882811690789,-399.19463673251994,-399.2903251870693,-399.28038591064177,-399.304041662612,-399.2921354209773,-399.31163819458715,-399.2996929457272,-399.30152000509054,-399.29580348956785,-399.307698004616,-399.296638060116,-399.309439459,-399.307914371,-399.3145009245279,-399.3138369083408,-399.309710347,-399.307117517,-399.31463500993016,-399.31369566932307,-399.2523088986212,-399.308402364681,-399.307921067516,-399.308297378641,-399.312436601332
-399.1924275851212,-399.19840023956766,-399.2937460145973,-399.28378686347816,-399.30738942297114,-399.29552090064743,-399.3149224515072,-399.3030804673549,-399.3049511930939,-399.2992354695019,-399.31108602803926,-399.3000587511162,-399.312791159,-399.311299455,-399.31775748174186,-399.31712363025827,-399.313054225,-399.310496094,-399.31788737269494,-399.3169688810384,-399.256227610573,-399.311685125108,-399.31119429437,-399.311555720989,-399.31567658705
-399.19610989683486,-399.2016747274796,-399.29671770780976,-399.2867590737708,-399.31028901042794,-399.29848563228853,-399.31775977241693,-399.3060515461056,-399.3079337304028,-399.302235952686,-399.314029877554,-399.30306181460753,-399.315698544,-399.31424831,-399.32056889970573,-399.3199691150175,-399.315953657,-399.313443395,-399.3206945015144,-399.31980340989,-399.2597078995203,-399.314541361065,-399.314056066494,-399.314401269789,-399.318570629751
-399.19937899252,-399.2045187388535,-399.29929035914546,-399.2893578840633,-399.3127908513684,-399.3010844563687,-399.3202006683151,-399.3086597974113,-399.3105179660745,-399.3048581910128,-399.3165796166732,-399.3057016010915,-399.318211988,-399.316811167,-399.32298571391294,-399.32242327461216,-399.318459054,-399.316010303,-399.32310695883615,-399.3222494480867,-399.2627938043046,-399.316995428154,-399.31650097127,-399.316832613558,-399.321015504728
-399.20228070689456,-399.2069854701897,-399.301509574869,-399.29163403767296,-399.31494083715535,-399.3033675687028,-399.32229113984073,-399.3109541360869,-399.3127497058395,-399.3071505234832,-399.3187807990138,-399.3080277690035,-399.320377359,-399.319033553,-399.3250539977678,-399.3245315097743,-399.32061633,-399.318243296,-399.32517085081054,-399.32435439408926,-399.26553525743566,-399.319104078205,-399.318609274855,-399.318925935988,-399.32310009534
-399.2048562162474,-399.20912307461134,-399.30341686873896,-399.29363383454773,-399.31678072297905,-399.3053806663586,-399.32407307227805,-399.312978922841,-399.31467057513726,-399.3091566192035,-399.3206748278688,-399.3100853865304,-399.322236367,-399.320956626,-399.3268157066513,-399.3263350639981,-399.32246725,-399.320183165,-399.3269281697613,-399.3261561044778,-399.2679725029706,-399.320913800008,-399.320424812977,-399.320727222141,-399.324847448879
-399.207142421018,-399.210974950636,-399.3050499953322,-399.29539936301006,-399.31834846001135,-399.30716520840366,-399.3255845622649,-399.31477424679446,-399.31631838290366,-399.3109158039444,-399.3222987638708,-399.3119152426581,-399.323826928,-399.322617541,-399.32830902681314,-399.32787138665645,-399.32404979,-399.321867756,-399.3284171413831,-399.32769392468253,-399.27013766698207,-399.322457272493,-399.32196976897,-399.322257439457,-399.326317411131
-399.2091723123565,-399.2125800178262,-399.3064432127964,-399.29696871682654,-399.3196784667134,-399.3087586614992,-399.326860182174,-399.3163762027693,-399.31772738159407,-399.3124633174772,-399.32368785060015,-399.3135540850234,-399.325183404,-399.324049737,-399.3295686098612,-399.3291743998399,-399.325398372,-399.323330573,-399.3296724573794,-399.3290017763685,-399.2720674580671,-399.323770935475,-399.323291006397,-399.323564121656,-399.327578019236
