HF,UHF,CASSCF,VB,cov,ion,CF,BOVB,MP2,UMP2,MP3,UMP3,MP4,UMP4,CID,UCID,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CCSDT,CCSDT_ORCA,CCSDT(Q),CCSDT[Q],CCSDTQ,CCSDT_nofc,CCSDT(Q)_nofc,CCSDT[Q]_nofc,CASPT2,SC-NEVPT2,FIC-NEVPT2,FIC-MRCISD,FIC-MRCISD+Q
-198.73639647863425,-198.77119271761924,-198.8316753928984,-198.817450419452,-198.759092899107,-198.39822686933,-198.821285948804,-198.8488900856,-199.2691044029225,-199.21400140273127,-199.26605203982217,-199.22921499009013,-199.2957087420352,-199.25018897643096,-199.2276985736092,-199.2046227666393,-199.2321685091916,-199.21613500485773,-199.26638374087,-199.23232556814327,-199.2725261,-199.26900084,-199.29298754831007,-199.28976727951976,-199.273632491,-199.269866589,-199.29336010740067,-199.29131345583417,-199.2929230048632,-199.2929227970836,-199.29495864514584,-199.2944083223888,-199.29469032760795,-199.3171738604181,-199.3192430014861,-199.3186806527072,-199.275371781457,-199.230834854605,-199.234329366356,-199.25793754,-199.28471588
-198.72500993428395,-198.77678896194368,-198.83001787826743,-198.817491516123,-198.769452979647,-198.400237470328,-198.821171015837,-198.846502559989,-199.26358453026123,-199.20962698602304,-199.2600186628877,-199.2262525621595,-199.29178972142603,-199.24473473051424,-199.21976323982904,-199.2027373516501,-199.2246372898112,-199.21258426212137,-199.26019027979868,-199.22923356538809,-199.267038329,-199.262917695,-199.2891096465119,-199.28452356008168,-199.268204875,-199.26391134,-199.2894519802856,-199.2858458138857,-199.2889862330076,,-199.2913049499436,-199.29069468980032,,-199.3131783769637,-199.31553336736764,-199.3149093403285,-199.271877323931,-199.225946037165,-199.229247305238,-199.25445798,-199.28107204
-198.7125615100537,-198.7819900147369,-198.82763374660948,-198.816708991886,-198.77769168425,-198.401201396087,-198.820119950477,-198.843081025052,-199.25706553133708,-199.20742464939568,-199.25312008072217,-199.2250243537962,-199.28706942384977,-199.2414156485632,-199.2107736761315,-199.20222584335767,-199.2160604472111,-199.21031001377955,-199.2530330811896,-199.2277141540895,-199.260628917,-199.256541731,-199.2844756257585,-199.27812439082945,-199.26184491,-199.257750009,-199.28476639828693,-199.279165883418,-199.28426297637088,-199.28426294417545,-199.2868800941912,-199.2862012705576,-199.28648727685416,-199.3084117464413,-199.311068138474,-199.3103735988015,-199.267580425614,-199.220342570378,-199.223479466572,-199.25028572,-199.27671158
-198.6994863651916,-198.7866232057184,-198.82488684692544,-198.815482771856,-198.784118757004,-198.400925359288,-198.818535251497,-198.839107086257,-199.25000165290257,-199.2064846224796,-199.24581629634068,-199.22478932884547,-199.2820070290365,-199.23950115265265,-199.2011678800827,-199.20248015775235,-199.2068730431532,-199.20899235910244,-199.24534945854245,-199.22713352187927,-199.253730663,-199.250538585,-199.27952822252868,-199.27112728982,-199.254983463,-199.251946785,-199.2797429896329,-199.27195703766284,-199.27918463817787,,-199.28211230329768,-199.28135528045985,,-199.30330062581533,-199.3062707846132,-199.30549588006724,-199.262896759951,-199.214561710354,-199.217481816249,-199.24582857,-199.27205468
-198.68611719053143,-198.79064164294067,-198.822034470568,-198.814052190392,-198.789032775706,-198.399427038836,-198.816689202799,-198.834925751325,-199.24274538534,-199.2062607075161,-199.2384641993864,-199.22509245916729,-199.2769576626428,-199.23848177785845,-199.19128041840813,-199.20312978212672,-199.19740649841663,-199.2083534983109,-199.23747075213663,-199.22709850539144,-199.246668898,-199.245372517,-199.27459868642927,-199.26418683540203,-199.24794419,-199.246883141,-199.274710195694,-199.2649070367609,-199.2740685549271,-199.27406874379247,-199.27731495122487,-199.27646937112715,-199.27674309022595,-199.29815866135385,-199.30145097181187,-199.30058512712804,-199.258130665359,-199.208841825381,-199.211581806073,-199.24137708,-199.26740215
-198.67270603179225,-198.79406676730423,-198.819251728116,-198.812574015653,-198.79272193453,-198.396846655542,-198.814776116333,-198.830788110229,-199.23556872177548,-199.2064260641885,-199.231339211914,-199.22566023727447,-199.27219339420424,-199.2380169763556,-199.18136436493944,-199.20395299269177,-199.18791056657616,-199.20816969978085,-199.2296440825528,-199.2273666450344,-199.239683298,-199.241271965,-199.2699276193775,-199.25792750350448,-199.240965594,-199.242759226,-199.26990659349977,-199.25859317453728,-199.26913972659256,,-199.2727083664258,-199.2717635522387,,-199.29320810800536,-199.2968262575133,-199.29585858740447,-199.253497627401,-199.203496998265,-199.206006142627,-199.23712909,-199.26295998
-198.6594405950744,-198.79695315054107,-198.8166504012526,-198.811131687344,-198.795436652091,-198.393354478043,-198.812914668808,-198.826853315758,-199.2286790836561,-199.20678777713104,-199.2246514646082,-199.226333220346,-199.26791891391392,-199.2378861973248,-199.17160774157577,-199.20482147220605,-199.1785698712285,-199.2082725103809,-199.2220495381887,-199.22779048929488,-199.232944979,-199.238244549,-199.26568165897552,-199.25275976395065,-199.234217931,-199.239608646,-199.2654973995265,-199.2533714120616,-199.2645479274325,-199.26454802502465,-199.26843710714348,-199.2673825519508,-199.2676229649952,-199.28859680900567,-199.29253923545195,-199.29145904362863,-199.249142282197,-199.198561934693,-199.200891993796,-199.23320803,-199.25885699
-198.6464570516389,-198.79936748607304,-198.81429402210367,-198.809778562027,-198.797397015771,-198.389126899899,-198.811183940411,-198.823225757993,-199.2222315955281,-199.2072328874609,-199.2185583018397,-199.22702095546504,-199.26428363243173,-199.23794831692027,-199.16214627788617,-199.2056635054176,-199.16951679869177,-199.2085412315087,-199.2148123311872,-199.22828031592704,-199.226569507,-199.236147549,-199.26196614982365,-199.2488027854104,-199.227816646,-199.23734033,-199.26158783118447,-199.24934525204688,-199.2603823928658,,-199.26458490408265,-199.2634107907015,,-199.2844127430406,-199.28867234029224,-199.2874696493439,-199.24515273809,-199.194139229578,-199.19631345025,-199.22968071,-199.25516353
-198.63385071257343,-198.80137686527823,-198.8122104183236,-198.808537119082,-198.798779877524,-198.384329277473,-198.809620142111,-198.819977903922,-199.21633905531664,-199.20769617644308,-199.21317449639605,-199.227674167106,-199.2613915391503,-199.23811382905828,-199.15307388076832,-199.2064412917728,-199.1608421012297,-199.20889292085585,-199.208014117514,-199.22878206877377,-199.220628366,-199.23477657,-199.25883692937933,-199.2459508104128,-199.221833658,-199.235792938,-199.25823468130864,-199.2464154315008,-199.2566847833695,-199.25668458183472,-199.26118792652653,-199.2598856238185,-199.26007434449883,-199.28069684784708,-199.28526097584407,-199.28392703187257,-199.241572942636,-199.190404223907,-199.192293250799,-199.22657119,-199.25190532
-198.62168517502505,-198.8030430428688,-198.81040230732623,-198.807419914126,-198.799732262091,-198.379086180695,-198.808241801718,-198.81709158502,-199.2110803689559,-199.20814091970607,-199.20858091876408,-199.22826788565027,-199.25930954310343,-199.238326481484,-199.14445155529577,-199.20713713510767,-199.15260392461465,-199.20927276081005,-199.2017022021853,-199.22926351625907,-199.215158764,-199.233929364,-199.256310720046,-199.2439883886707,-199.216307042,-199.234789691,-199.2554566076784,-199.24438065407296,-199.2534612441252,,-199.25824717918607,-199.25680965989807,,-199.27745493439912,-199.28230576886585,-199.2808334651854,-199.238413691321,-199.187045558242,-199.188818163648,-199.22387337,-199.24907659
