HF,UHF,2UHF,MP2,UMP2,2UMP2,MP3,UMP3,2UMP3,MP4,UMP4,2UMP4,CID,UCID,2UCID,CISD,UCISD,2UCISD,CCD,UCCD,2UCCD,CCSD,UCCSD,2UCCSD,CCSD(T),UCCSD(T),2UCCSD(T),QCISD,UQCISD,2UQCISD,QCISD(T),UQCISD(T),2UQCISD(T),CASSCF(2/2),DCD-CAS(2) (2/2),SC-NEVPT2 (2/2),FIC-NEVPT2 (2/2),CASSCF(12/8)_ORCA,CASSCF(12/8),CASPT2_ORCA,CASPT2,DCD-CAS(2),SC-NEVPT2,FIC-NEVPT2,MRCI,MRCI+Q Davidson,MRCI+Q Davidson relaxed,MRCI+Q Pople,MRCI+Q Pople relaxed,MR-ACPF,MR-AQCC
-145.04199900944093,-145.08040595531287,-145.080405955279,-145.4100053810707,-145.43762940482932,-145.43762939280995,-145.42048779267333,-145.44714512427677,-145.44714511609436,-145.42959560355078,-145.45547450909342,-145.45547450048235,-145.4037208397675,-145.43215324096764,-145.43215323341988,-145.4037208397675,-145.43215324096764,-145.43215323341988,-145.42202750765463,-145.44825506811296,-145.4482550600114,-145.423062101,-145.449335554,-145.449335554,-145.43208777306907,-145.45806060197532,-145.458060601979,-145.423187067,-145.449432358,-145.449432359,-145.43212046908897,-145.45803951360415,-145.45803951398509,-145.05794704333078,-145.423318635212,-145.423318185481,-145.497520493248,-145.068823331845,-145.071901107764,-145.408476331711,-145.431020862404,-145.38728095502,-145.377683038986,-145.38575691602,-145.419055074454,-145.43785053,-145.43782689,-145.43529735,-145.43527618,-145.436179535595,-145.43262612591
-146.41211242288756,-146.45308666132496,-146.4530866612992,-146.78722225739645,-146.81651542452806,-146.81651541662296,-146.7974384921933,-146.82605199685412,-146.82605199163308,-146.80661407931183,-146.83463709590634,-146.83463709023195,-146.779813602687,-146.81020842248927,-146.81020841753096,-146.779813602687,-146.81020842248927,-146.81020841753096,-146.7983851131533,-146.82684963763592,-146.82684963216198,-146.799347463,-146.827909739,-146.827909739,-146.8086569870723,-146.8370399480795,-146.8370399480946,-146.799470204,-146.828016287,-146.828016288,-146.8086870691639,-146.83701369325814,-146.8370136936781,-146.4286584927476,-146.80215461658,-146.802154202316,-146.894603678925,-146.441389980334,-146.442703889425,-146.808203907501,-146.808988151477,-146.776280422937,-146.768440422231,-146.7754655108,-146.795794770732,-146.81551575,-146.81549831,-146.81285654,-146.81284088,-146.813384239338,-146.809828145472
-147.38538698820548,-147.42902915845656,-147.42902915844388,-147.7664078594792,-147.79738942517628,-147.79738942282054,-147.77670973696635,-147.80720841694497,-147.8072084155951,-147.78621483673845,-147.81620700894763,-147.8162070073188,-147.75820887945903,-147.79057758805135,-147.7905775866058,-147.75820887945903,-147.79057758805135,-147.7905775866058,-147.7774069311656,-147.8079019243767,-147.80790192269015,-147.778366952,-147.809019007,-147.809019007,-147.78816074454042,-147.8186772611606,-147.81867726118224,-147.7784998,-147.809144769,-147.80914477,-147.7881902333955,-147.81864609997876,-147.81864610031172,-147.40259693972783,-147.782844167781,-147.78284362491,-147.891514383617,-147.42156313794,-147.420841257949,-147.694432468546,-147.789565554785,-147.670574795851,-147.643415434834,-147.670103257479,-147.775625875086,-147.7958261,-147.79579994,-147.79311506,-147.79309154,-147.793523921614,-147.789928366353
-148.07809057276768,-148.12425963164327,-148.12425963163187,-148.46427153956552,-148.4968124547741,-148.49681245460545,-148.47475139315682,-148.50696204294988,-148.50696204282812,-148.48478065334467,-148.51650137612995,-148.5165013758634,-148.4553622632576,-148.48957208464162,-148.48957208433055,-148.4553622632576,-148.48957208464162,-148.48957208433055,-148.47532607281465,-148.50764035753429,-148.50764035708863,-148.476362535,-148.508877817,-148.508877817,-148.48672247289252,-148.51912185476,-148.519121854755,-148.476513966,-148.50902614,-148.50902614,-148.48675215503303,-148.51908424092557,-148.51908424103132,-148.09590976093315,-148.482065131284,-148.482064386306,-148.603817094379,-148.108683520039,-148.119146292848,-148.488151966554,-148.488563528556,-148.458606600791,-148.450823028488,-148.456979896716,-148.474364598312,-148.49501433,-148.49497447,-148.49225741,-148.49222152,-148.492620900497,-148.488956873417
-148.57071833200447,-148.61914107661468,-148.61914107660354,-148.96185916516964,-148.99570225367668,-148.99570225408675,-148.9724109135611,-149.006057831717,-149.00605783224347,-148.9831558285153,-149.01628144036331,-149.0162814408235,-148.95209740233582,-148.98789532254733,-148.98789532287955,-148.95209740233582,-148.98789532254733,-148.98789532287955,-148.97292910136073,-149.00676609427663,-149.00676609449883,-148.974107533,-149.008175623,-149.008175623,-148.98509442275008,-149.01905003466695,-149.01905003461425,-148.974283955,-149.008348717,-149.008348716,-148.98512550828048,-149.01900475630092,-149.01900475631012,-148.5890135249145,-148.980850215278,-148.980849202392,-149.112416943673,-148.604559307754,-148.617977018432,-148.988767489473,-148.987015964033,-148.958986355381,-148.950641804524,-148.956974523239,-148.972804128379,-148.99386988,-148.99381176,-148.99107268,-148.99102026,-148.991412051311,-148.987674864565
-148.91952799122154,-148.96988910222592,-148.9698891022298,-149.3158799251672,-149.3506918538263,-149.35069185482712,-149.32625496049147,-149.3610058589775,-149.36100585982393,-149.33793859590585,-149.3720983503453,-149.37209835118503,-149.30495605525874,-149.34202730065078,-149.34202730132068,-149.30495605525874,-149.34202730065078,-149.34202730132068,-149.32676357961336,-149.36177071980654,-149.36177072046405,-149.328140994,-149.363402899,-149.363402899,-149.33982266411093,-149.37495640277132,-149.37495640275628,-149.328350226,-149.363606063,-149.363606063,-149.33985768708487,-149.3749041660492,-149.37490416606127,-148.93813255144136,-149.335913035632,-149.335911830947,-149.474428879043,-148.956754236744,-148.97353527276,-149.344290003609,-149.341636465028,-149.314288738586,-149.305261945591,-149.31180658862,-149.327490522342,-149.34895063,-149.34887024,-149.34611691,-149.34604429,-149.346435943099,-149.34262619
-149.164269694353,-149.21626455525947,-149.21626455524162,-149.56640131803564,-149.60182116578974,-149.60182116580836,-149.57624757591407,-149.61175984641432,-149.61175984679232,-149.5891430316075,-149.62395722836737,-149.62395722872688,-149.55388536641854,-149.59190430454154,-149.5919043047988,-149.55388536641854,-149.59190430454154,-149.5919043047988,-149.57679019155964,-149.61260234681055,-149.6126023468818,-149.578423178,-149.614512493,-149.614512493,-149.59088425917912,-149.62680544279104,-149.62680544263165,-149.578676803,-149.614756004,-149.614756004,-149.5909277188509,-149.62674980731117,-149.62674980708647,-149.18301564806677,-149.587333891955,-149.587331647307,-149.735409444103,-149.205039926045,-149.2255751502,-149.595516838042,-149.592494070208,-149.565251793267,-149.555394931321,-149.562190326063,-149.578404454607,-149.60024282,-149.60013691,-149.59737537,-149.59727954,-149.59767543436,-149.59379447873
-149.33331980721323,-149.38667795230245,-149.38667795227803,-149.74201315658777,-149.7776841394856,-149.7776841390882,-149.75089581656158,-149.78684726179898,-149.78684726195254,-149.76533749334166,-149.80044201289036,-149.8004420130451,-149.72738426590936,-149.76604583869909,-149.76604583877395,-149.72738426590936,-149.76604583869909,-149.76604583877395,-149.75152154588903,-149.7877909717641,-149.78779097164565,-149.753470998,-149.790040658,-149.790040658,-149.76681662922206,-149.80314892354588,-149.8031489233461,-149.753785453,-149.790340384,-149.790340383,-149.7668754128136,-149.80309699187663,-149.8030969915584,-149.35205553957147,-149.76371527785,-149.763714467957,-149.918280829667,-149.403168975723,-149.40250966188,-149.75793905875,-149.768173505486,-149.727029258136,-149.718552143801,-149.724907868505,-149.754096555658,-149.77630005,-149.77616645,-149.77340106,-149.77327998,-149.773682516009,-149.769731876207
-149.4471319135957,-149.5016232287545,-149.50162322875585,-149.86331438082135,-149.89889977792683,-149.89889978026545,-149.87072242671687,-149.9068272845779,-149.90682728617173,-149.887115790357,-149.92217349250276,-149.92217349424635,-149.8459754720994,-149.8850101510494,-149.8850101524022,-149.8459754720994,-149.8850101510494,-149.8850101524022,-149.87149276841765,-149.9079041594374,-149.90790416101575,-149.873825491,-149.910560678,-149.910560678,-149.88818258805898,-149.92457758684992,-149.92457758693106,-149.874222514,-149.910937924,-149.910937924,-149.8882662086486,-149.92453979317207,-149.9245397933032,-149.46572970094834,-149.885663956673,-149.885661276116,-150.045621536096,-149.525475507129,-149.524838768279,-149.882806341358,-149.889262026126,-149.851629006645,-149.843176225713,-149.849204171136,-149.875149168637,-149.89770386,-149.89754177,-149.89477537,-149.89462823,-149.895038987494,-149.891020508495
-149.52058770058207,-149.57602021259467,-149.57602021259737,-149.94528717128955,-149.98047586644435,-149.98047586902427,-149.95063093054912,-149.98664645656876,-149.98664645835154,-149.9694630206843,-150.0041665903588,-150.00416659234935,-149.9245709159615,-149.96374929924417,-149.963749300787,-149.9245709159615,-149.96374929924417,-149.963749300787,-149.9516262065342,-149.98790180081363,-149.98790180261545,-149.954414585,-149.991036449,-149.991036449,-149.9699315004592,-150.00607289658296,-150.00607289666243,-149.954921344,-149.99151835,-149.991518349,-149.9700521494784,-150.0060639010719,-150.00606390121084,-149.5389453843241,-149.968162989496,-149.968157619564,-150.132717945745,-149.608094764687,-149.607483986223,-149.966522001619,-149.970723321855,-149.935214415946,-149.926734690918,-149.932530357092,-149.956534006338,-149.97942342,-149.97923355,-149.97646752,-149.9762949,-149.976714946203,-149.972630961834
-149.56460469998183,-149.62081909850315,-149.6208190985025,-149.99891559926496,-150.0334221511554,-150.03342214997548,-150.00151926834295,-150.03724744714145,-150.03724744661628,-150.0233701808689,-150.0574404785314,-150.05744047794795,-149.97408702323392,-150.01321891104251,-150.01321891056045,-149.97408702323392,-150.01321891104251,-150.01321891056045,-150.00284580540716,-150.03874500763249,-150.03874500707536,-150.006166062,-150.042431157,-150.042431157,-150.02301066346803,-150.05861462924423,-150.05861462917238,-150.006815003,-150.043050363,-150.043050363,-150.02318301050968,-150.0586527939611,-150.0586527938459,-149.58264445932815,-150.02218976473,-150.02218457059,-150.190776643312,-149.661967903688,-149.661385839832,-150.020718424401,-150.023515608569,-149.989326034396,-149.980927384373,-149.98643065717,-150.009221291131,-150.03242607,-150.03221053,-150.02944498,-150.02924873,-150.029678777908,-150.025532130834
-149.58723684926076,-149.64410041197632,-149.644100411977,-150.03229089915564,-150.06585349647077,-150.0658534956303,-150.0313829327199,-150.066670264427,-150.0666702641934,-150.05693765752667,-150.0901202582749,-150.09012025799888,-150.0025502306408,-150.04148121170832,-150.0414812114932,-150.0025502306408,-150.04148121170832,-150.0414812114932,-150.03318166521893,-150.0684982010398,-150.06849820079853,-150.037111003,-150.072808444,-150.072808444,-150.05546712293463,-150.0902802857346,-150.09028028568437,-150.037939245,-150.073602826,-150.073602826,-150.05570772967826,-150.09038750731878,-150.09038750724915,-149.60490278152471,-150.055821522251,-150.055816888431,-150.228042597223,-149.695150502712,-149.694599309237,-150.053804223736,-150.055696816295,-150.022317998757,-150.013982428761,-150.019258922987,-150.041280436489,-150.06477888,-150.06454071,-150.06177488,-150.06155773,-150.061998244317,-150.057792223564
-149.59443661294347,-149.6518377413069,-149.65183774130412,-150.05137751190475,-150.0837556794866,-150.08375567922323,-150.04608113818298,-150.08081796413015,-150.08081796428783,-150.07614088746797,-150.10820220540435,-150.10820220556815,-150.015865401683,-150.05447253363107,-150.05447253377278,-150.015865401683,-150.05447253363107,-150.05447253377278,-150.04853798044246,-150.08309594659434,-150.08309594677496,-150.053151773,-150.088099105,-150.088099105,-150.0732143568556,-150.10701050318715,-150.10701050316112,-150.054199875,-150.089110752,-150.089110751,-150.07354054294092,-150.10721132486765,-150.10721132484025,-149.61169198044132,-150.075002201168,-150.074999169369,-150.25057681026,-149.713574504699,-149.713055815408,-150.071889366801,-150.073191802824,-150.04027863997,-150.032035007139,-150.037098484664,-150.058645312461,-150.0824142,-150.08215667,-150.07938961,-150.0791545,-150.079605778278,-150.075344049502
