c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.02329614,0.02329613,0.99633995,0.00209864,0.00209864,0.99580271,0.003213,0.003213,0.99357399,0.00054856,0.00054856,0.99890287,0.00054611,0.00054611,0.99890779
0.02087149,0.02087146,0.99704761,0.00169222,0.00169222,0.99661556,0.0025979,0.00259789,0.99480421,0.00043942,0.00043942,0.99912117,0.00043782,0.00043782,0.99912436
0.01872093,0.01872092,0.99762008,0.00136404,0.00136404,0.99727192,0.0020965,0.0020965,0.99580701,0.00035294,0.00035294,0.99929413,0.0003519,0.0003519,0.9992962
0.01680809,0.01680808,0.9980833,0.00109885,0.00109885,0.99780229,0.00168835,0.00168835,0.99662331,0.00028411,0.00028411,0.99943178,0.00028344,0.00028344,0.99943313
0.01510239,0.0151024,0.99845805,0.00088453,0.00088453,0.99823094,0.00135671,0.00135671,0.99728657,0.00022912,0.00022912,0.99954177,0.00022868,0.00022868,0.99954263
0.01358055,0.01358055,0.99876085,0.00071148,0.00071148,0.99857705,0.00108791,0.00108791,0.99782418,0.0001851,0.0001851,0.9996298,0.00018482,0.00018482,0.99963036
0.01222027,0.01222027,0.99900533,0.0005718,0.0005718,0.9988564,0.00087053,0.00087053,0.99825895,0.00014977,0.00014977,0.99970047,0.00014959,0.00014959,0.99970082
0.01100183,0.01100184,0.99920257,0.0004591,0.00045911,0.99908179,0.00069512,0.00069512,0.99860977,0.00012132,0.00012132,0.99975736,0.0001212,0.0001212,0.99975759
0.00991027,0.00991024,0.99936146,0.00036829,0.00036829,0.99926342,0.00055394,0.00055394,0.99889213,9.839e-05,9.839e-05,0.99980322,9.832e-05,9.832e-05,0.99980336
0.00893101,0.00893101,0.99948935,0.00029515,0.00029515,0.99940969,0.00044055,0.00044055,0.9991189,7.988e-05,7.988e-05,0.99984024,7.983e-05,7.983e-05,0.99984034
0.00805191,0.00805191,0.9995921,0.00023633,0.00023633,0.99952734,0.00034973,0.00034973,0.99930054,6.491e-05,6.491e-05,0.99987019,6.488e-05,6.488e-05,0.99987024
0.00726155,0.00726154,0.99967465,0.00018902,0.00018902,0.99962196,0.00027708,0.00027708,0.99944584,5.278e-05,5.278e-05,0.99989445,5.276e-05,5.276e-05,0.99989448
0.00655101,0.00655101,0.9997408,0.00015104,0.00015104,0.99969791,0.00021915,0.00021915,0.9995617,4.295e-05,4.295e-05,0.99991411,4.293e-05,4.293e-05,0.99991413
0.0059148,0.0059148,0.99979364,0.00012066,0.00012066,0.99975867,0.00017312,0.00017312,0.99965377,3.5e-05,3.5e-05,0.99992999,3.5e-05,3.5e-05,0.99993001
0.00534252,0.00534252,0.99983589,9.632e-05,9.632e-05,0.99980736,0.00013656,0.00013656,0.99972688,2.855e-05,2.855e-05,0.99994289,2.855e-05,2.855e-05,0.9999429
0.00482061,0.00482061,0.99986985,7.669e-05,7.669e-05,0.99984661,0.00010743,0.00010743,0.99978514,2.325e-05,2.325e-05,0.99995351,2.324e-05,2.324e-05,0.99995351
0.00435112,0.00435111,0.99989689,6.102e-05,6.102e-05,0.99987797,8.44e-05,8.44e-05,0.99983119,1.894e-05,1.894e-05,0.99996213,1.894e-05,1.894e-05,0.99996213
0.00392736,0.00392736,0.99991843,4.849e-05,4.849e-05,0.99990301,6.622e-05,6.622e-05,0.99986756,1.543e-05,1.543e-05,0.99996915,1.543e-05,1.543e-05,0.99996915
0.00354468,0.00354468,0.99993557,3.85e-05,3.85e-05,0.99992301,5.188e-05,5.188e-05,0.99989625,1.257e-05,1.257e-05,0.99997487,1.257e-05,1.257e-05,0.99997487
0.00319839,0.00319839,0.99994919,3.052e-05,3.052e-05,0.99993897,4.058e-05,4.058e-05,0.99991885,1.023e-05,1.023e-05,0.99997954,1.023e-05,1.023e-05,0.99997954
0.0028845,0.00288451,0.99996002,2.415e-05,2.415e-05,0.9999517,3.168e-05,3.168e-05,0.99993663,8.32e-06,8.32e-06,0.99998336,8.32e-06,8.32e-06,0.99998336
0.00259993,0.00259992,0.99996859,1.909e-05,1.909e-05,0.99996183,2.471e-05,2.471e-05,0.99995059,6.76e-06,6.76e-06,0.99998648,6.76e-06,6.76e-06,0.99998648
0.00234143,0.00234143,0.99997538,1.505e-05,1.505e-05,0.9999699,1.922e-05,1.922e-05,0.99996155,5.48e-06,5.48e-06,0.99998903,5.48e-06,5.48e-06,0.99998904
0.00210606,0.00210606,0.99998076,1.184e-05,1.184e-05,0.99997633,1.492e-05,1.492e-05,0.99997015,4.44e-06,4.44e-06,0.99999113,4.44e-06,4.44e-06,0.99999113
0.00189185,0.00189185,0.99998501,9.28e-06,9.28e-06,0.99998143,1.156e-05,1.156e-05,0.99997689,3.58e-06,3.58e-06,0.99999284,3.58e-06,3.58e-06,0.99999284
0.00169746,0.00169746,0.99998835,7.27e-06,7.27e-06,0.99998547,8.93e-06,8.93e-06,0.99998214,2.88e-06,2.88e-06,0.99999424,2.88e-06,2.88e-06,0.99999424
0.00151992,0.00151992,0.99999098,5.66e-06,5.66e-06,0.99998867,6.88e-06,6.88e-06,0.99998624,2.31e-06,2.31e-06,0.99999538,2.31e-06,2.31e-06,0.99999538
0.00135889,0.00135889,0.99999304,4.4e-06,4.4e-06,0.99999119,5.29e-06,5.29e-06,0.99998942,1.85e-06,1.85e-06,0.99999631,1.85e-06,1.85e-06,0.99999631
0.00121278,0.00121278,0.99999465,3.41e-06,3.41e-06,0.99999318,4.05e-06,4.05e-06,0.99999189,1.47e-06,1.47e-06,0.99999706,1.47e-06,1.47e-06,0.99999706
0.00108051,0.00108051,0.9999959,2.64e-06,2.64e-06,0.99999473,3.1e-06,3.1e-06,0.9999938,1.17e-06,1.17e-06,0.99999766,1.17e-06,1.17e-06,0.99999766
0.00096147,0.00096147,0.99999686,2.03e-06,2.03e-06,0.99999594,2.36e-06,2.36e-06,0.99999527,9.2e-07,9.2e-07,0.99999815,9.2e-07,9.2e-07,0.99999815
0.00085148,0.00085148,0.99999762,1.55e-06,1.55e-06,0.99999689,1.79e-06,1.79e-06,0.99999642,7.3e-07,7.3e-07,0.99999855,7.3e-07,7.3e-07,0.99999855
0.00075186,0.00075186,0.9999982,1.18e-06,1.18e-06,0.99999764,1.35e-06,1.35e-06,0.9999973,5.7e-07,5.7e-07,0.99999887,5.7e-07,5.7e-07,0.99999887
