PBE0,wB97M-V,wB97M-D4rev,wB97X-V,wB97X-D4rev,M062X,B3LYP,BHandHLYP,TPSS0,TPSSh,wr2scan,r2scan0,r2scanh,r2scan,B97M-V,PBE,TPSS,BLYP,VWN3
-28.3627301077857084,-28.4112404665329734,-28.4452719209449683,-28.4040382640358615,-28.4380983975173365,-28.4259106164181503,-28.4085551243921088,-28.4084949280118906,-28.4221700595283693,-28.4302247331476821,-28.3750465776232446,-28.3835596917293742,-28.6525331246710948,-28.6526441411866415,-28.7235229570252564,-28.3580578316690790,-28.4357271216600154,-28.6833685079231060,-28.1538591967382672
-28.4793650947193271,-28.5278263567810413,-28.5618475547675246,-28.5196441592043577,-28.5536922219394214,-28.5425326806983222,-28.5258722488317957,-28.5246716007671495,-28.5382926171966318,-28.5468055388832482,-28.4906065961196475,-28.4993192916136096,-28.4995820626981313,-28.4998389151961931,-28.5728661794421868,-28.4755965860350173,-28.5526160568276453,-28.5361909105912304,-28.2716474029887905
-28.5842796305659235,-28.6324729351152669,-28.6664922151241370,-28.6235916455311319,-28.6576363256220503,-28.6468149743446148,-28.6313646129981549,-28.6293648082313581,-28.6429037866822256,-28.6517456477230326,-28.5944093158739037,-28.6035566236056056,-28.6039539638754547,-28.6043018056655640,-28.6772193278354628,-28.5811269069472473,-28.6577734545061205,-28.6422209273736357,-28.3773309958884283
-28.6784097517427270,-28.7261401213936125,-28.7601630771727201,-28.7169046335908646,-28.7509520800874725,-28.7401124377891932,-28.7259031761742705,-28.7234377349018217,-28.7368837795580916,-28.7459189012757363,-28.6876249098876315,-28.6974223751626809,-28.6979244187264015,-28.6983434571995204,-28.7713454665772943,-28.6755976852638028,-28.7520717902823648,-28.7370595166046954,-28.4717867738183585
-28.7623573714606735,-28.8094412137597438,-28.8434723706480582,-28.8002040650677351,-28.8342592666448851,-28.8232426530108157,-28.8100556957234559,-28.8073990351953597,-28.8208027217784846,-28.8299143409955079,-28.7708496498048802,-28.7814760596869021,-28.7820784414425361,-28.7825669724084037,-28.8558357774802943,-28.7596586536551229,-28.8361143952269572,-28.8213222573831018,-28.5556538956793133
-28.8366687383610660,-28.8829601796258970,-28.9170013279284923,-28.8740264730804306,-28.9080915356946413,-28.8968147237893511,-28.8843944093044662,-28.8817489785825181,-28.8951876729654593,-28.9042931664198370,-28.8446100681585413,-28.8561826442249192,-28.8568959418956972,-28.8574604022833050,-28.9310844545683850,-28.8339158739545134,-28.9104861309530285,-28.8956337114692126,-28.6295797464064172
-28.9019751132288292,-28.9473969178432178,-28.9814484933573056,-28.9389760348861778,-28.9730515121312564,-28.9612204566045861,-28.9495960756704278,-28.9470966090789545,-28.9606454854528792,-28.9696922636502237,-28.9094337917032291,-28.9219947993970337,-28.9228182158708265,-28.9234575136772705,-28.9974838217362496,-28.8990562689314956,-28.9758440752672541,-28.9607173783796412,-28.6943060066956477
-28.9590001859213189,-29.0035213379933730,-29.0375826485689004,-28.9957456104386360,-29.0298308060370687,-29.0171625551271148,-29.0064198326871860,-29.0041506223821912,-29.0178862248549194,-29.0268449722690605,-28.9660393116948924,-28.9795774811131110,-28.9805024474042838,-28.9812101120028771,-29.0554920847831291,-28.9558465155839500,-29.0329367984409288,-29.0173670845971401,-28.7506366944296730
-29.0085080671669537,-29.0521435643317467,-29.0862130297113382,-29.0450847178833733,-29.0791780833879159,-29.0656113891129806,-29.0556712304470182,-29.0536812864023659,-29.0676302338017152,-29.0764814417713922,-29.0151617965225554,-29.0296366982042358,-29.0306502103093891,-29.0314172776986013,-29.1058029906288311,-29.0050801430819689,-29.0825009568405193,-29.0664124976172857,-28.7994066996348792
-29.0512961972039747,-29.0940725343039155,-29.1281489466978059,-29.0877720245441580,-29.1218722971123327,-29.1074490349787141,-29.0981602326654993,-29.0964733906433324,-29.1106768273622265,-29.1194139175211077,-29.0576425426432152,-29.0729945855411316,-29.0740787337894062,-29.0748931126344772,-29.1491928843658812,-29.0475751386869021,-29.1253574153702957,-29.1086799168677217,-28.8414488698411660
