occ1,ene1,occ2,ene2,20,02
1.0,-0.187499,1.0,-0.187483,0.70712241,0.707091152
1.0,-0.187498,1.0,-0.187484,0.707121026,0.707092536
1.0,-0.187497,1.0,-0.187485,0.707119759,0.707093803
1.0,-0.187497,1.0,-0.187485,0.707118599,0.707094963
1.0,-0.187496,1.0,-0.187486,0.707117538,0.707096024
1.0,-0.187496,1.0,-0.187486,0.707116567,0.707096995
1.0,-0.187495,1.0,-0.187487,0.707115679,0.707097883
1.0,-0.187495,1.0,-0.187487,0.707114868,0.707098694
1.0,-0.187495,1.0,-0.187488,0.707114127,0.707099436
1.0,-0.187494,1.0,-0.187488,0.70711345,0.707100112
1.0,-0.187494,1.0,-0.187488,0.707112832,0.70710073
1.0,-0.187494,1.0,-0.187488,0.707112269,0.707101294
1.0,-0.187494,1.0,-0.187489,0.707111755,0.707101807
1.0,-0.187493,1.0,-0.187489,0.707111287,0.707102276
1.0,-0.187493,1.0,-0.187489,0.70711086,0.707102702
1.0,-0.187493,1.0,-0.187489,0.707110472,0.70710309
1.0,-0.187493,1.0,-0.187489,0.707110119,0.707103443
1.0,-0.187493,1.0,-0.18749,0.707109798,0.707103765
1.0,-0.187492,1.0,-0.18749,0.707109506,0.707104057
1.0,-0.187492,1.0,-0.18749,0.707109241,0.707104322
1.0,-0.187492,1.0,-0.18749,0.707109,0.707104562
1.0,-0.187492,1.0,-0.18749,0.707108781,0.707104781
1.0,-0.187492,1.0,-0.18749,0.707108583,0.707104979
1.0,-0.187492,1.0,-0.18749,0.707108404,0.707105158
1.0,-0.187492,1.0,-0.18749,0.707108241,0.707105321
1.0,-0.187492,1.0,-0.18749,0.707108094,0.707105468
1.0,-0.187492,1.0,-0.187491,0.707107961,0.707105601
1.0,-0.187492,1.0,-0.187491,0.707107841,0.707105721
1.0,-0.187492,1.0,-0.187491,0.707107732,0.70710583
1.0,-0.187492,1.0,-0.187491,0.707107634,0.707105928
1.0,-0.187491,1.0,-0.187491,0.707107546,0.707106016
1.0,-0.187491,1.0,-0.187491,0.707107466,0.707106096
1.0,-0.187491,1.0,-0.187491,0.707107394,0.707106168
1.0,-0.187491,1.0,-0.187491,0.70710733,0.707106233
1.0,-0.187491,1.0,-0.187491,0.707107272,0.707106291
1.0,-0.187491,1.0,-0.187491,0.707107219,0.707106343
1.0,-0.187491,1.0,-0.187491,0.707107172,0.70710639
