PBE0,wB97MV,wB97MD4rev,wB97XV,wB97XD4rev,M062X,B3LYP,BHandHLYP,TPSS0,TPSSh,wr2scan,r2scan0,r2scanh,r2scan,B97MV,PBE,TPSS,BLYP,VWN3,UPBE0,UPBE,B2PLYP,UB2PLYP
-198.2898089472837455,-198.4127196511803390,-198.4892659469869614,-198.3921928596065243,-198.4687384357214910,-198.4011319961231266,-198.3926795779200916,-198.4051679281196812,-198.4344474510847363,-198.4524618400864711,-198.3734835315227087,-198.3665401271946394,-198.3727058619638228,-198.3770014270202751,-198.3900492731075644,-198.2743875314474735,-198.4648345356765162,-198.4321550520530764,-197.5943215701785789,-198.289808953015,-198.274387531429,-198.356466171372,-198.356465987781
-198.6086653300332898,-198.7338310088436515,-198.8103853457976697,-198.7138860361563673,-198.7904389352230794,-198.7226762436669958,-198.7123280304064394,-198.7241184713469124,-198.7538938105211628,-198.7726477586060128,-198.6932196370980819,-198.6855268998692736,-198.6923807505885122,-198.6971382533540975,-198.7097274541551428,-198.5943009088265683,-198.7855197014245903,-198.7531502438498308,-197.9093506413790919,-198.608665353770,-198.594300908782,-198.676965111408,-198.676965106579
-198.8412538002369843,-198.9687084956557044,-199.0452779004898503,-198.9490368809806284,-199.0256043083737154,-198.9575977257088084,-198.9460954174684844,-198.9565683386315982,-198.9871080190121120,-199.0069123728281397,-198.9268605966265682,-198.9181820596394914,-198.9259599658677757,-198.9313395488235301,-198.9434431564428962,-198.8284510289349782,-199.0204940932507611,-198.9886674802905873,-198.1388648709397557,-198.841253843640,-198.828451028919,-198.911194665524,-198.911194665523
-199.0106999536831154,-199.1404170705573904,-199.2170085772036430,-199.1207724216275494,-199.1973615820489272,-199.1288367618817858,-199.1170253436312692,-199.1256611566815309,-199.1571928254572015,-199.1783040002675591,-199.0974482024287511,-199.0876127837446177,-199.0965163668822413,-199.1026557220600637,-199.1142528579475766,-198.9998841823332043,-199.1927702749992193,-199.1616810252855601,-198.3059060807085245,-199.010699953722,-198.999884182324,-199.082290602430,-199.082290602437
-199.1337232067767786,-199.2656053987544738,-199.3422260921253155,-199.2458174656274252,-199.3224356020577943,-199.2532331181291454,-199.2417666765287265,-199.2481398783196767,-199.2808470469109068,-199.3034692754379194,-199.2216608242194127,-199.2105544632867975,-199.2207446790066001,-199.2277547040322929,-199.2388147014748370,-199.1252425254660920,-199.3189602873313504,-199.2887711029330262,-198.4271351846002176,-199.133723206795,-199.125242525441,-199.206978106747,-199.206978106738
-199.2224696214105961,-199.3563546852929562,-199.4330116564288176,-199.3363230076373895,-199.4129773522427342,-199.3429035448154423,-199.3323924641468636,-199.3361671618584410,-199.3701965425385083,-199.3944835778315223,-199.3115710326750047,-199.2991289294727721,-199.3107243033355758,-199.3186873353785131,-199.3291803011493926,-199.2165963690319472,-199.4111054619757226,-199.3819436386697532,-198.5146296965644979,-199.222469621462,-199.216596369099,-199.297394637922,-199.297394637967
-199.2857508506598663,-199.4214256621820596,-199.4981256139289201,-199.4011084875061499,-199.4778058565462402,-199.4067564934514678,-199.3976474137585342,-199.3985827774544362,-199.4340433856415018,-199.4600970949893792,-199.3759621276282132,-199.3621671813754404,-199.3752449269841804,-199.3842152230701856,-199.3941043423910173,-199.2826744019829732,-199.4779205989718207,-199.4498701495697048,-198.5771339662555590,-199.285750850652,-199.282674402027,-199.362351584693,-199.362351584814
-199.3300096248700015,-199.4672313427163033,-199.5439808731866265,-199.4466278888157262,-199.5233749656969167,-199.4512462207170529,-199.4439127005381351,-199.4418516409773474,-199.4788199702032330,-199.5066958064095388,-199.4212325717923022,-199.4061119249267335,-199.4207143151439823,-199.4307218616901309,-199.4399795310297918,-199.3298453195604338,-199.5257593726601044,-199.4988679004780465,-198.6210109920227183,-199.330009624851,-199.329845332322,-199.408283842736,-199.408283842838
-199.3599532017647959,-199.4984717114469106,-199.5752769609359518,-199.4776022213308977,-199.5544052024433483,-199.4811539963951361,-199.4758436203551923,-199.4707122048486383,-199.5092261724316813,-199.5389342046807712,-199.4520670259034318,-199.4356873864928161,-199.4518208647387496,-199.4628707108165599,-199.4714812808833813,-199.3627427455880081,-199.5592447960044069,-199.5335298878081574,-198.6508855218695544,-199.359953201792,-199.362742761530,-199.439902283138,-199.439902283150
-199.3790843839393290,-199.5186622564616243,-199.5955287523666755,-199.4975513947277648,-199.5744158414162825,-199.4999983868138997,-199.4969014807062138,-199.4886912333252269,-199.5287593793572398,-199.5602740778212763,-199.4719458591837054,-199.4543999522201716,-199.4720428486401431,-199.4841203753518926,-199.4920935121777177,-199.3848116379814144,-199.5818138040984309,-199.5572702617598679,-198.6701817187586983,-199.379084383895,-199.384811644172,-199.460709153859,-199.460709153833
-199.3900392815334612,-199.5304555434370570,-199.6073883452870916,-199.5091296963847469,-199.5860606863763564,-199.5104556785906311,-199.5096928396343401,-199.4984457237337665,-199.5400506654927426,-199.5733193644588823,-199.4834916017281898,-199.4648900763033339,-199.4839981664692914,-199.4970732352482514,-199.5044515168441137,-199.3986438975635451,-199.5960514445046101,-199.5726611359177696,-198.6814658950580679,-199.390039281493,-199.398643898981,-199.473342334471,-199.473342334463
-199.3948219469219509,-199.5358806178616362,-199.6128840815238448,-199.5143598073941860,-199.5913617074214983,-199.5145498142021836,-199.5162022866842051,-199.5019993726279495,-199.5451017157572267,-199.5800513544919284,-199.4887004062221081,-199.4691636352255557,-199.4896759678026115,-199.5037069133540513,-199.5105517682961818,-199.4062098555668854,-199.6039248996632693,-199.5816618301009271,-198.6866868561598096,-199.394821946943,-199.406209856217,-199.479813271522,-199.479813271500
-199.3949891769468934,-199.5365192994346444,-199.6135969611620737,-199.5148167872072236,-199.5918931370253802,-199.5138631462262140,-199.5179767134301017,-199.5009210857555217,-199.5454705798689474,-199.5820179600353015,-199.4891337941637630,-199.4687835206671025,-199.4906310154927098,-199.5055706172829559,-199.5119534794613116,-199.4090478455466666,-199.6069751733533053,-199.5858071228860240,-198.6873612192683538,-199.394989176906,-199.409047848213,-199.481684827464,-199.481684827404
-199.3917563301344558,-199.5336040833167033,-199.6107587759390185,-199.5117308516885544,-199.5888844790513303,-199.5095965832727529,-199.5162285501050974,-199.4964332222554617,-199.5423756294125610,-199.5804343406836097,-199.4860228298338711,-199.4649764964677843,-199.4880906855303806,-199.5038922754736177,-199.5098978423976632,-199.4083654035537165,-199.6064153252677897,-199.5863061486152219,-198.6846771055078875,-199.391756330115,-199.408365410077,-199.480178717128,-199.480178717122
-199.3860630490760286,-199.5280881187485988,-199.6053219813847477,-199.5060564271152543,-199.5832894699935878,-199.5027112396445546,-199.5118997735988557,-199.4894826443521652,-199.5367597914815292,-199.5762430057845336,-199.4803240604823600,-199.4586940664152337,-199.4830092341847489,-199.4996282537623813,-199.5053320945063149,-199.4050990074230185,-199.6031877243504198,-199.5841010899580681,-198.6795574654476297,-199.386063049070,-199.405099013870,-199.476245759117,-199.476245759118
-199.3786389468841946,-199.5207151389820694,-199.5980295613198336,-199.4985367024320055,-199.5758505624717714,-199.4939712334772821,-199.5057248871608522,-199.4808037060867605,-199.5293593142314990,-199.5701833671670329,-199.4727801442443820,-199.4506716434020746,-199.4761238529926572,-199.4935169104809916,-199.4989839510783156,-199.3999797140423311,-199.5980341368507425,-199.5799302584638610,-198.6727213955790887,-199.378638946873,-199.399979723351,-199.470627358212,-199.453199989872
-199.3700555718691305,-199.5120703163691189,-199.5894659973155569,-199.4897517270225933,-199.5671471080477772,-199.4839483898458923,-199.4982811226614388,-199.4709683722880698,-199.5207537335327288,-199.5628409320851802,-199.4639745106161399,-199.4414845187858418,-199.4680132280318219,-199.4861388921126490,-199.4914487206954732,-199.3935848446416230,-199.5915442321419278,-199.5743780466179373,-198.6647345933471343,-199.370055571860,-199.393584762794,-199.463904007246,-199.445097656821
-199.3607542189248818,-199.5026022072148919,-199.5800793447953083,-199.4801499821266191,-199.5576270701962471,-199.4730948676757976,-199.4900172114709562,-199.4604189686747304,-199.5113912653310422,-199.5546701704069221,-199.4543665415040721,-199.4315869806306409,-199.4591383744878215,-199.4779595153641480,-199.4831924585419074,-199.3863622746025328,-199.5841771054709284,-199.5679007512493399,-198.6560364532222422,-199.361010547232,-199.386563696263,-199.456527120527,-199.439554836680
-199.3510657634039944,-199.4926412321970304,-199.5701995816856709,-199.4700735362241915,-199.5476320971394557,-199.4617922684529390,-199.4812706710003454,-199.4494898659842193,-199.5016098283927022,-199.5460133957767539,-199.4442989675416698,-199.4213198363872834,-199.4498449508670319,-199.4693277631845376,-199.4745375646276671,-199.3786467991581048,-199.5762780496173150,-199.5608409741615787,-198.6469534798263226,-199.357520339431,-199.379990492981,-199.448840715254,-199.435709603577
-199.3412403608192278,-199.4824409587170067,-199.5600798634282853,-199.4597819853057104,-199.5374214040548395,-199.4503369071010752,-199.4722969593155995,-199.4384337765736177,-199.4916663867007571,-199.5371314243118661,-199.4340296646354602,-199.4109364985481250,-199.4403893258745484,-199.4605021608496429,-199.4657270768570072,-199.3706920755609531,-199.5681105728407374,-199.5534586498050658,-198.6377317988620348,-199.353399275905,-199.373857914035,-199.441107411441,-199.433000787566
-199.3314744903106543,-199.4722155058776139,-199.5499339313979306,-199.4494751494765978,-199.5271944152208903,-199.4389358719512870,-199.4632983831371291,-199.4274460458177600,-199.4817656369022529,-199.5282351018600764,-199.4237617723706535,-199.4006337924520551,-199.4309714841684809,-199.4516847412695597,-199.4569606185542625,-199.3627013745000909,-199.5598898070410030,-199.5459632670688279,-198.6285683279295995,-199.350234340061,-199.368095405649,-199.433532246276,-199.431059701548
